"title","year","rating","poster","notes","imdb_id","flag"
"The Hitchhiker's Guide to the Galaxy",2005,6.7,"https://m.media-amazon.com/images/M/MV5BZmU5MGU4MjctNjA2OC00N2FhLWFhNWQtMzQyMGI2ZmQ0Y2YyL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","","tt0371724","🇬🇧"
"(T)Raumschiff Surprise - Periode 1",2004,5.5,"https://m.media-amazon.com/images/M/MV5BMTMxMjUxNDQ0N15BMl5BanBnXkFtZTcwMDY0ODYyMQ@@._V1_SX300.jpg","","tt0349047","🇩🇪"
"Knockin' on Heaven's Door",1997,7.8,"https://m.media-amazon.com/images/M/MV5BZDIxMWE2YTgtZDY3NS00OTE5LWFmNjEtZjIyYzlhN2ZjN2Y2XkEyXkFqcGdeQXVyNzMxMzQyNDE@._V1_SX300.jpg","","tt0119472","🇩🇪"
"The Pursuit of Happyness",2006,8.0,"https://m.media-amazon.com/images/M/MV5BMTQ5NjQ0NDI3NF5BMl5BanBnXkFtZTcwNDI0MjEzMw@@._V1_SX300.jpg","","tt0454921","🇺🇸"
"Metropolis",1927,8.3,"https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","The very first antiutopy ever!","tt0017136","🇩🇪"
"Wag the Dog",1997,7.1,"https://m.media-amazon.com/images/M/MV5BNmEwNzk5ZTYtNGUzOC00ZThjLTk3NGYtMDQ5MzNiYzQ0ZTNkXkEyXkFqcGc@._V1_SX300.jpg","","tt0120885","🇺🇸"
"Underworld",2003,7.0,"https://m.media-amazon.com/images/M/MV5BMTk1OTc2ZmUtODU0Yy00NGJiLWJmNmQtODI0MzBjODk3MjI4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg","","tt0320691","🇺🇸"
"Cyrano",2021,6.4,"https://m.media-amazon.com/images/M/MV5BNDhhYjU4ZDMtYjI5OC00N2RkLTg5MGItZTNkM2Q5MzE5NjQxXkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_SX300.jpg","","tt12889404","🇬🇧"
"Space Jam",1996,6.5,"https://m.media-amazon.com/images/M/MV5BYjA3ZmMwNTUtNGM2Ni00YjUyLWE5ZDYtY2Y4YzhmYzlhYWI2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg","","tt0117705","🇺🇸"
"Jolt",2021,5.6,"https://m.media-amazon.com/images/M/MV5BMDc0ZjEzNGYtZjkzYi00ZjcxLTkxYWQtNjNkNWY1ZjZjMjBiXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg","","tt10228134","🇺🇸"
